-1.04544,-0.01459,-0.32821,-0.28614,-1.17968,-1.76539,-0.34638,0.026704,-1.81125,-1.91224,-0.01051,-0.045136,-1.35289,-2.07408,0.03153,0.065024,-1.44681,-2.7118,0.17784,0.208064,0.0273,-0.06904,A
-0.96624,-0.01459,-0.27113,-0.30622,-1.30896,-1.85293,-0.2259,0.0353157,-1.8975,-1.93028,0.01051,-0.0499943,-1.44074,-2.10984,0.06306,0.0662857,-1.48007,-2.639,0.12844,0.173566,0.091,-0.06904,A
-0.91872,0.01459,-0.17124,-0.31626,-1.35744,-1.91129,-0.14307,0.033457,-1.932,-1.94832,0.05255,-0.047363,-1.45831,-2.16348,0.13663,0.062797,-1.4967,-2.73,0.25688,0.164117,0.1911,-0.06041,A
-1.15632,0.02918,-0.11416,-0.30622,-1.34128,-1.73621,-0.27861,0.0368334,-1.863,-1.91224,0.06306,-0.0484766,-1.4056,-2.16348,0.11561,0.0616834,-1.43018,-2.73,0.15808,0.133203,0.1547,-0.06041,A
-1.01376,-0.02918,-0.17124,-0.32128,-1.27664,-1.7508,-0.20331,0.0353157,-1.88025,-1.8942,0.04204,-0.0499943,-1.45831,-2.12772,0.1051,0.0662857,-1.46344,-2.6572,0.17784,0.155686,0.1547,-0.06041,A
-1.09296,0,-0.09989,-0.32128,-1.32512,-1.80916,-0.17319,0.0285627,-1.84575,-1.91224,0.05255,-0.0477673,-1.49345,-2.1456,0.1051,0.0685127,-1.46344,-2.6754,0.18772,0.157913,0.182,-0.06041,A
-1.01376,0,-0.09989,-0.32128,-1.30896,-1.80916,-0.14307,0.0307624,-1.88025,-1.8942,0.02102,-0.0545476,-1.51102,-2.07408,0.11561,0.0800924,-1.44681,-2.639,0.20748,0.163532,0.1183,-0.05178,A
-1.09296,0,0.02854,-0.3012,-1.30896,-1.86752,-0.18072,0.0371744,-1.88025,-1.87616,0.02102,-0.0526256,-1.45831,-2.09196,0.1051,0.0697744,-1.48007,-2.6754,0.28652,0.159174,0.1183,-0.05178,A
-1.0296,-0.02918,-0.19978,-0.34136,-1.27664,-1.69244,-0.24849,0.0371744,-1.81125,-1.93028,0.01051,-0.0526256,-1.47588,-2.09196,0.12612,0.0697744,-1.4967,-2.6208,0.13832,0.147254,0.091,-0.06041,A
-0.82368,-0.04377,-0.41383,-0.35642,-1.08272,-1.85293,-0.44427,0.0341389,-1.67325,-1.82204,-0.45193,-0.0556611,-1.28261,-2.21712,-0.12612,0.0789789,-1.44681,-2.6936,0.03952,0.227979,0.0182,-0.06041,A
-0.83952,-0.11672,-0.59934,-0.3765,-1.14736,-1.77998,-0.42921,0.0326211,-1.6215,-1.87616,-0.19969,-0.0571789,-1.35289,-2.12772,-0.06306,0.0835811,-1.39692,-2.6572,0.10868,0.232581,0.0364,-0.09493,A
-0.93456,-0.05836,-0.34248,-0.36646,-1.11504,-1.83834,-0.33885,0.0495035,-1.656,-1.85812,-0.12612,-0.0627465,-1.33532,-2.10984,0.03153,0.0780135,-1.38029,-2.6572,0.26676,0.232974,0.0182,-0.06041,A
-0.93456,-0.02918,-0.08562,-0.38152,-1.17968,-1.7508,-0.30873,0.020292,-1.7595,-1.87616,-0.01051,-0.047058,-1.45831,-2.07408,0.09459,0.075342,-1.43018,-2.6754,0.20748,0.224342,0.0091,-0.06041,A
-0.98208,-0.04377,-0.32821,-0.33634,-1.26048,-1.80916,-0.24096,0.0326211,-1.77675,-1.84008,-0.05255,-0.0571789,-1.49345,-2.07408,0.1051,0.0835811,-1.44681,-2.6208,0.20748,0.208741,0.0819,-0.05178,A
-0.93456,-0.02918,-0.27113,-0.34136,-1.212,-1.83834,-0.23343,0.0446093,-1.74225,-1.87616,-0.1051,-0.0631507,-1.4056,-2.1456,0.04204,0.0837293,-1.43018,-2.6936,0.21736,0.185049,0.0819,-0.0863,A
-1.07712,0.01459,-0.19978,-0.33634,-1.212,-1.69244,-0.48945,0.0240094,-1.70775,-1.93028,-0.01051,-0.0523206,-1.38803,-2.16348,0.07357,0.0823194,-1.41355,-2.7118,0.23712,0.201519,0.1638,-0.0863,A
-0.98208,-0.05836,-0.27113,-0.3514,-1.212,-1.80916,-0.41415,0.0103496,-1.67325,-1.91224,-0.23122,-0.0659804,-1.38803,-2.16348,0.05255,0.12374,-1.44681,-2.6754,0.23712,0.25486,0.1092,-0.05178,A
-0.99792,-0.02918,-0.25686,-0.35642,-1.212,-1.77998,-0.27861,0.0491626,-1.725,-1.85812,-0.01051,-0.0585974,-1.4056,-2.0562,0.12612,0.0699226,-1.43018,-2.6754,0.23712,0.189123,0.0546,-0.05178,A
-0.82368,-0.02918,-0.19978,-0.39658,-1.27664,-1.80916,-0.24096,0.0285627,-1.77675,-1.85812,-0.01051,-0.0477673,-1.45831,-2.09196,0.06306,0.0685127,-1.41355,-2.7118,0.03952,0.187713,0.1274,-0.09493,A
-0.88704,-0.02918,-0.17124,-0.35642,-1.27664,-1.79457,-0.27108,0.0349747,-1.8285,-1.87616,0,-0.0458453,-1.42317,-2.10984,0.09459,0.0581947,-1.48007,-2.6572,0.21736,0.171435,0.1183,-0.09493,A
-0.8712,-0.05836,-0.19978,-0.38152,-1.212,-1.7508,-0.24849,0.027045,-1.81125,-1.84008,-0.01051,-0.049285,-1.47588,-2.10984,0.07357,0.073115,-1.41355,-2.5844,0.18772,0.186355,0.1092,-0.09493,A
-0.96624,-0.02918,-0.18551,-0.36646,-1.212,-1.77998,-0.28614,0.0319392,-1.794,-1.84008,-0.05255,-0.0488808,-1.47588,-2.0562,0.07357,0.0673992,-1.44681,-2.6208,0.21736,0.162759,0.2184,-0.09493,A
-1.04544,-0.01459,-0.18551,-0.3765,-1.22816,-1.76539,-0.32379,0.0420686,-1.794,-1.8942,-0.05255,-0.0522214,-1.45831,-2.10984,0.08408,0.0640586,-1.43018,-2.7118,0.1976,0.147499,0.1729,-0.09493,A
-1.01376,-0.02918,-0.11416,-0.35642,-1.22816,-1.72162,-0.3012,0.0322802,-1.81125,-1.8942,-0.02102,-0.0530298,-1.47588,-2.07408,0.06306,0.0754902,-1.43018,-2.6208,0.21736,0.18873,0.1092,-0.09493,A
-1.01376,-0.02918,-0.15697,-0.36144,-1.2928,-1.79457,-0.26355,0.0304214,-1.7595,-1.84008,-0.09459,-0.0503986,-1.51102,-2.09196,0.05255,0.0720014,-1.44681,-2.6754,0.1976,0.185241,0.182,-0.09493,A
-1.04544,-0.01459,-0.15697,-0.38654,-1.08272,-1.7508,-0.38403,0.0424096,-1.63875,-1.87616,-0.12612,-0.0563704,-1.30018,-2.12772,-0.02102,0.0721496,-1.39692,-2.73,0.0494,0.26883,0.091,-0.09493,A
-0.98208,-0.01459,-0.17124,-0.3514,-1.22816,-1.73621,-0.2259,0.0361515,-1.8285,-1.78596,0,-0.0401785,-1.49345,-2.03832,0.11561,0.0455015,-1.4967,-2.6754,0.23712,0.188542,0.1092,-0.09493,A
-1.0296,0.01459,-0.1427,-0.36646,-1.26048,-1.7508,-0.19578,0.0402099,-1.81125,-1.804,-0.01051,-0.0495901,-1.52859,-2.0562,0.09459,0.0605699,-1.44681,-2.6572,0.22724,0.14997,0.2457,-0.09493,A
-1.06128,-0.02918,-0.12843,-0.38654,-1.24432,-1.7508,-0.29367,0.0319392,-1.81125,-1.84008,-0.04204,-0.0488808,-1.45831,-2.03832,0.09459,0.0673992,-1.48007,-2.6572,0.247,0.192559,0.1274,-0.0863,A
-0.93456,-0.01459,-0.07135,-0.38654,-1.212,-1.79457,-0.29367,0.0319392,-1.81125,-1.78596,-0.05255,-0.0488808,-1.52859,-1.9668,0.08408,0.0673992,-1.39692,-2.6026,0.247,0.180639,0.0182,-0.0863,A
-0.83952,0.05836,-0.04281,-0.35642,-1.26048,-1.73621,-0.21084,0.0282218,-1.8285,-1.78596,-0.09459,-0.0436182,-1.45831,-1.98468,0.07357,0.0604218,-1.38029,-2.6026,0.16796,0.149822,0,-0.0863,A
-0.58608,0.07295,0,-0.4016,-1.27664,-1.85293,-0.15813,0.0243504,-1.84575,-1.76792,-0.08408,-0.0564696,-1.54616,-2.02044,0.12612,0.0904104,-1.48007,-2.5662,0.247,0.18577,0.0637,-0.0863,A
-0.74448,0.26262,0.01427,-0.31124,-1.1312,-1.07966,-0.03765,0.0749645,-1.656,-0.86592,-0.05255,-0.0327955,-1.26504,-1.09068,0.09459,-0.00831552,-1.24725,-1.5652,0.13832,0.0691645,-0.2639,-0.0863,A
-0.72864,0.23344,0.01427,-0.34136,-1.30896,-1.7508,-0.15813,0.0466219,-1.794,-1.67772,0.05255,-0.0476681,-1.38803,-1.93104,0.11561,0.0502519,-1.41355,-2.5116,0.12844,0.127732,-0.1183,-0.0863,A
-0.99792,0,0.01427,-0.3514,-1.14736,-1.70703,-0.23343,0.0300805,-1.794,-1.82204,-0.02102,-0.0462495,-1.42317,-2.02044,0.1051,0.0639105,-1.41355,-2.6572,0.15808,0.17119,0.0273,-0.0863,A
-0.74448,0.20426,0.07135,-0.3263,-1.09888,-1.38605,-0.05271,0.0447632,-1.725,-1.51536,-0.04204,-0.0450368,-1.37046,-1.77012,0.09459,0.0467632,-1.3304,-2.3114,0.247,0.112323,-0.182,-0.0863,A
-0.93456,0.1459,0.07135,-0.3514,-1.19584,-1.459,-0.18825,0.0477987,-1.77675,-1.73184,-0.1051,-0.0420013,-1.33532,-1.94892,0.06306,0.0375587,-1.38029,-2.5662,0.12844,0.120999,-0.0273,-0.0863,A
-0.8712,0.21885,0.07135,-0.31626,-1.03424,-1.1672,-0.13554,0.0726109,-1.63875,-1.1726,-0.06306,-0.0441291,-1.21233,-1.53768,0.08408,0.0170709,-1.26388,-1.911,0.15808,0.112431,-0.2912,-0.0863,A
-0.96624,0.20426,0.07135,-0.33132,-1.24432,-1.73621,-0.1506,0.027045,-1.7595,-1.74988,-0.03153,-0.049285,-1.47588,-1.94892,0.11561,0.073115,-1.48007,-2.4752,0.11856,0.186355,-0.0455,-0.0863,A
-0.93456,0.05836,0.01427,-0.37148,-1.09888,-1.73621,-0.39909,0.0304214,-1.656,-1.78596,-0.16816,-0.0503986,-1.30018,-2.09196,-0.02102,0.0720014,-1.38029,-2.6572,0.07904,0.238881,-0.0455,-0.0863,A
-0.98208,0.01459,0.01427,-0.38152,-1.16352,-1.7508,-0.3012,0.0246914,-1.6905,-1.87616,-0.01051,-0.0606186,-1.44074,-2.0562,0.06306,0.0985014,-1.41355,-2.6572,0.17784,0.229621,0.0546,-0.0863,A
-1.0296,0.05836,-0.05708,-0.35642,-1.212,-1.76539,-0.23343,0.0240094,-1.77675,-1.82204,0,-0.0523206,-1.47588,-2.0562,0.08408,0.0823194,-1.38029,-2.6754,0.13832,0.207479,0.0819,-0.0863,A
-1.07712,0.08754,0,-0.37148,-1.17968,-1.7508,-0.29367,0.0172565,-1.67325,-1.93028,-0.03153,-0.0500935,-1.38803,-2.03832,0.04204,0.0845465,-1.41355,-2.639,0.13832,0.251426,0.0728,-0.0863,A
-1.12464,0.10213,0,-0.3514,-1.16352,-1.7508,-0.21084,0.0209739,-1.67325,-1.84008,-0.02102,-0.0553561,-1.38803,-2.02044,0.03153,0.0915239,-1.41355,-2.6026,0.1976,0.252444,0.0364,-0.07767,A
-1.07712,0.04377,-0.02854,-0.36646,-1.09888,-1.72162,-0.33885,0.020633,-1.74225,-1.85812,0.02102,-0.051207,-1.38803,-2.07408,0.09459,0.083433,-1.41355,-2.6754,0.12844,0.220513,0.1183,-0.06904,A
-1.06128,0.07295,-0.01427,-0.3514,-1.212,-1.76539,-0.29367,0.0224917,-1.725,-1.87616,0,-0.0538383,-1.47588,-2.03832,0.06306,0.0869217,-1.38029,-2.6208,0.15808,0.229962,0.0637,-0.10356,A
-1.20384,0.07295,0.04281,-0.3765,-0.98576,-1.64867,-0.30873,0.0105035,-1.656,-1.85812,-0.01051,-0.0478665,-1.4056,-2.02044,0.05255,0.0867735,-1.39692,-2.6208,0.0494,0.253654,0.091,-0.06904,A
-1.12464,0.02918,-0.01427,-0.36144,-1.17968,-1.76539,-0.33132,0.014221,-1.70775,-1.85812,0.04204,-0.053129,-1.47588,-2.09196,0.1051,0.093751,-1.43018,-2.6026,0.12844,0.230831,0.091,-0.10356,A
-1.1088,0.04377,-0.02854,-0.34638,-1.03424,-1.72162,-0.3765,0.0240094,-1.725,-1.84008,0.03153,-0.0523206,-1.38803,-2.03832,0.09459,0.0823194,-1.41355,-2.639,0.11856,0.219399,0.0364,-0.06904,A
-1.14048,0.07295,-0.01427,-0.34136,-1.1312,-1.67785,-0.36897,0.0255272,-1.6905,-1.84008,0.04204,-0.0508028,-1.42317,-2.03832,0.05255,0.0777172,-1.41355,-2.6208,0.11856,0.226717,0.0637,-0.10356,A
-0.96624,0.04377,-0.15697,-0.39156,-1.08272,-1.73621,-0.4518,0.0430915,-1.6905,-1.78596,-0.12612,-0.0646685,-1.4056,-2.03832,-0.03153,0.0883315,-1.34703,-2.639,-0.06916,0.243292,0.0091,-0.10356,A
-1.12464,0.02918,0.01427,-0.3514,-1.11504,-1.70703,-0.36144,0.0473038,-1.6905,-1.87616,-0.04204,-0.0559662,-1.33532,-2.03832,0.02102,0.0664338,-1.39692,-2.6754,0.10868,0.245234,0.0182,-0.06904,A
-1.20384,0.05836,0.07135,-0.35642,-1.08272,-1.76539,-0.31626,0.0371744,-1.6215,-1.804,-0.13663,-0.0526256,-1.35289,-2.07408,-0.01051,0.0697744,-1.41355,-2.73,0.0988,0.236654,0.0182,-0.06904,A
-1.1088,0.04377,0.01427,-0.35642,-1.11504,-1.73621,-0.38403,0.0356566,-1.656,-1.85812,-0.14714,-0.0541434,-1.37046,-2.10984,-0.01051,0.0743766,-1.43018,-2.6754,0.05928,0.259137,0.0364,-0.11219,A
-1.1088,0.08754,-0.04281,-0.33634,-1.1312,-1.7508,-0.36897,0.033457,-1.656,-1.804,-0.07357,-0.047363,-1.38803,-2.03832,0.04204,0.062797,-1.39692,-2.639,0.16796,0.241597,-0.0091,-0.07767,A
-1.23552,0.10213,0.07135,-0.37148,-1.06656,-1.69244,-0.33885,0.0164206,-1.63875,-1.82204,-0.13663,-0.0599094,-1.42317,-1.94892,-0.01051,0.105331,-1.41355,-2.639,0.0494,0.272211,-0.0546,-0.07767,A
-1.20384,0.08754,0.01427,-0.34638,-1.17968,-1.76539,-0.33885,0.0255272,-1.67325,-1.84008,-0.06306,-0.0508028,-1.4056,-2.02044,0.04204,0.0777172,-1.38029,-2.6754,0.08892,0.244597,0.0182,-0.0863,A
-1.15632,0.08754,-0.04281,-0.37148,-1.11504,-1.69244,-0.38403,0.0240094,-1.6905,-1.804,-0.03153,-0.0523206,-1.42317,-2.03832,0.08408,0.0823194,-1.41355,-2.6208,0.08892,0.249199,0.0455,-0.09493,A
-1.12464,0.04377,-0.01427,-0.36646,-1.1312,-1.73621,-0.29367,0.0481397,-1.67325,-1.8942,-0.04204,-0.0461503,-1.35289,-2.0562,0.02102,0.0456497,-1.39692,-2.6936,0.08892,0.21253,0.1001,-0.09493,A
-1.23552,0.11672,0.04281,-0.36646,-1.06656,-1.72162,-0.33885,0.0359976,-1.67325,-1.8942,0,-0.0582924,-1.4056,-2.03832,0.05255,0.0824676,-1.43018,-2.6026,0.0494,0.243388,0.0364,-0.09493,A
-1.33056,0.08754,0.04281,-0.36144,-1.03424,-1.72162,-0.39909,0.0209739,-1.63875,-1.82204,0,-0.0553561,-1.4056,-2.09196,0.05255,0.0915239,-1.38029,-2.639,0.07904,0.246484,0.0546,-0.09493,A
-0.93456,0.30639,0.05708,-0.31626,-0.93728,-1.42982,-0.30873,0.0364925,-1.5525,-1.4432,-0.22071,-0.0443275,-1.19476,-1.73436,-0.06306,0.0535925,-1.23062,-2.2932,-0.00988,0.148952,-0.273,-0.09493,A
-0.98208,0.32098,0.05708,-0.26104,-0.8888,-1.03589,-0.18072,0.0628224,-1.38,-0.9922,-0.14714,-0.0449376,-0.89607,-1.30524,-0.08408,0.0285024,-1.03106,-1.5834,-0.01976,0.159622,-0.4368,-0.06041,A
-1.25136,0.08754,0.05708,-0.34638,-1.08272,-1.72162,-0.42921,0.027045,-1.656,-1.82204,-0.04204,-0.049285,-1.38803,-2.02044,0.02102,0.073115,-1.44681,-2.639,0.06916,0.239995,-0.0091,-0.09493,A
-1.20384,0.07295,0.05708,-0.35642,-1.0504,-1.79457,-0.32379,0.0408918,-1.656,-1.78596,-0.14714,-0.0578882,-1.31775,-2.07408,0.03153,0.0767518,-1.41355,-2.6936,0.12844,0.243632,0.0273,-0.09493,A
-1.1088,0.04377,0,-0.36646,-1.01808,-1.80916,-0.3765,0.0282218,-1.60425,-1.84008,-0.06306,-0.0436182,-1.28261,-2.0562,0.02102,0.0604218,-1.39692,-2.6208,0.17784,0.239222,-0.0091,-0.06041,A
-1.20384,0.1459,0.11416,-0.3263,-1.16352,-1.66326,-0.33132,0.0169155,-1.6905,-1.78596,-0.04204,-0.0459445,-1.42317,-2.02044,0.08408,0.0764555,-1.41355,-2.6208,0.07904,0.249296,0,-0.10356,A
-1.39392,0.10213,0.05708,-0.33634,-1.03424,-1.72162,-0.42921,0.007468,-1.6905,-1.76792,-0.08408,-0.050902,-1.33532,-2.03832,0.07357,0.095978,-1.41355,-2.6208,0.11856,0.262858,0.0182,-0.10356,A
-1.31472,0.1459,0.05708,-0.3514,-1.0504,-1.66326,-0.42921,0.0221507,-1.63875,-1.84008,-0.06306,-0.0496893,-1.31775,-2.07408,0.03153,0.0788307,-1.41355,-2.639,0.11856,0.275511,0.0364,-0.06904,A
-1.28304,0.11672,0.05708,-0.3514,-0.9696,-1.72162,-0.42921,0.0277269,-1.518,-1.85812,-0.12612,-0.0575831,-1.24747,-2.00256,0.06306,0.0892969,-1.3304,-2.6208,0.13832,0.315777,-0.1729,-0.06904,A
-1.29888,0.10213,0.05708,-0.34136,-0.95344,-1.70703,-0.3765,0.0307624,-1.60425,-1.82204,-0.05255,-0.0545476,-1.35289,-2.03832,0.09459,0.0800924,-1.36366,-2.6026,0.15808,0.264852,-0.0637,-0.07767,A
-1.36224,0.11672,0.05708,-0.32128,-0.9696,-1.66326,-0.38403,0.0236685,-1.587,-1.84008,-0.04204,-0.0481715,-1.35289,-1.9668,0.1051,0.0742285,-1.39692,-2.5116,0.15808,0.235148,-0.0819,-0.07767,A
-1.29888,0.13131,-0.02854,-0.3514,-1.01808,-1.73621,-0.39909,0.0285627,-1.587,-1.82204,-0.02102,-0.0477673,-1.35289,-2.02044,0.08408,0.0685127,-1.36366,-2.5662,0.15808,0.247313,-0.0637,-0.07767,A
-1.39392,0.11672,0.02854,-0.33634,-0.93728,-1.6049,-0.47439,0.0322802,-1.63875,-1.804,-0.06306,-0.0530298,-1.37046,-2.03832,0.08408,0.0754902,-1.38029,-2.5116,0.06916,0.23641,0.0091,-0.07767,A
-1.28304,0.10213,-0.04281,-0.34638,-1.03424,-1.67785,-0.38403,0.0353157,-1.67325,-1.804,-0.07357,-0.0499943,-1.35289,-2.0562,0.06306,0.0662857,-1.44681,-2.5844,0.08892,0.233166,0.0273,-0.07767,A
-1.29888,0.13131,0.01427,-0.35642,-1.01808,-1.7508,-0.42921,0.0289037,-1.56975,-1.82204,-0.08408,-0.0519163,-1.37046,-2.03832,0.07357,0.0766037,-1.43018,-2.6026,0.13832,0.243484,0,-0.07767,A
-1.2672,0.08754,-0.04281,-0.35642,-0.9696,-1.76539,-0.38403,0.0341389,-1.50075,-1.84008,-0.12612,-0.0556611,-1.26504,-2.12772,0.11561,0.0789789,-1.43018,-2.548,0.16796,0.281619,0,-0.07767,A
-1.36224,0.13131,0.01427,-0.36646,-0.93728,-1.6049,-0.54969,0.0224917,-1.5525,-1.82204,-0.13663,-0.0538383,-1.31775,-2.03832,0.06306,0.0869217,-1.36366,-2.5844,0.07904,0.271682,-0.1365,-0.07767,A
-1.3464,0.13131,0.01427,-0.35642,-1.01808,-1.6049,-0.48192,0.0236685,-1.587,-1.804,-0.03153,-0.0481715,-1.31775,-1.9668,0.04204,0.0742285,-1.34703,-2.5844,0.0494,0.241108,-0.0364,-0.07767,A
-1.37808,0.11672,0.01427,-0.3514,-0.95344,-1.67785,-0.43674,0.0466219,-1.56975,-1.84008,-0.05255,-0.0476681,-1.28261,-2.00256,0.08408,0.0502519,-1.39692,-2.548,0.15808,0.211172,-0.0546,-0.07767,A
-1.06128,0.08754,-0.1427,-0.3514,-1.11504,-1.77998,-0.38403,0.033116,-1.656,-1.804,-0.08408,-0.043214,-1.37046,-1.98468,0.07357,0.054706,-1.43018,-2.548,0.16796,0.221586,0.0091,-0.07767,A
-1.1088,0.01459,-0.15697,-0.31626,-1.27664,-1.8967,-0.2259,0.026704,-1.77675,-1.85812,-0.1051,-0.045136,-1.49345,-2.03832,0.07357,0.065024,-1.4967,-2.6208,0.0988,0.214024,0.0728,-0.07767,A
-1.14048,0.05836,-0.08562,-0.33132,-1.01808,-1.73621,-0.41415,0.0359976,-1.6215,-1.82204,-0.17867,-0.0582924,-1.38803,-2.0562,-0.01051,0.0824676,-1.44681,-2.639,-0.03952,0.267228,0.0182,-0.07767,A
-1.2672,0.13131,0.02854,-0.34136,-1.08272,-1.72162,-0.33885,0.0322802,-1.656,-1.804,-0.15765,-0.0530298,-1.37046,-2.03832,0.01051,0.0754902,-1.44681,-2.6208,0.0988,0.21853,0.0182,-0.06904,A
-1.20384,0.08754,-0.02854,-0.34136,-1.11504,-1.72162,-0.36897,0.0344798,-1.6215,-1.84008,-0.1051,-0.0598102,-1.33532,-2.0562,0.06306,0.0870698,-1.39692,-2.5662,0.08892,0.24203,-0.0091,-0.06904,A
-1.23552,0.07295,-0.01427,-0.34136,-1.06656,-1.66326,-0.40662,0.0341389,-1.6905,-1.84008,-0.06306,-0.0556611,-1.37046,-2.00256,0.07357,0.0789789,-1.41355,-2.6208,0.0988,0.216059,-0.0273,-0.07767,A
-1.23552,0.10213,-0.01427,-0.31626,-1.09888,-1.7508,-0.32379,0.039869,-1.70775,-1.82204,-0.07357,-0.045441,-1.37046,-2.03832,0.07357,0.052479,-1.41355,-2.639,0.06916,0.213399,0.0091,-0.07767,A
-1.28304,0.07295,0.01427,-0.32128,-1.03424,-1.69244,-0.53463,0.00898576,-1.6905,-1.82204,-0.1051,-0.0493842,-1.42317,-2.03832,0.03153,0.0913758,-1.44681,-2.6208,0.00988,0.246336,0.0091,-0.11219,A
-1.0296,0.2918,0.04281,-0.31626,-0.9696,-1.459,-0.30873,0.046281,-1.5525,-1.46124,-0.19969,-0.043519,-1.21233,-1.64496,-0.01051,0.042161,-1.3304,-2.2204,0.05928,0.179241,-0.273,-0.07767,A
-1.0296,0.02918,-0.08562,-0.33634,-1.212,-1.79457,-0.33885,0.0236685,-1.74225,-1.84008,-0.1051,-0.0481715,-1.42317,-2.0562,0.04204,0.0742285,-1.44681,-2.6208,0.07904,0.235148,0.0091,-0.0863,A
